Full name:;Short name;Headquarters;Description;Founded;Cellular Networks Installed;Supported Cellular Data Links;Cellular Network Operator;Covered Countries;Covered Regions
Vodafone Egypt;Vodafone EG;Cairo;Vodafone Egypt (formerly Click GSM) is an Egyptian cellular operator which was established in 1998;1998;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 1800 MHz (Band 3) , NR 2100 MHz (N1) , NR 1800 MHz (N3) , NR 900 MHz (N8) , TD-NR 2500 MHz (N41) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , NR 1.5 Gbps , NR 2.6 Gbps data links;No;Egypt covered;
A1 Belarus / velcom;A1 BY;Minks;A1 (Unitary Service Enterprise A1) is a provider of telecommunication, ICT and content services in Belarus. The company started its commercial activity on April 16, 1999, when it became the first GSM mobile operator in the country;1998;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) , TD-NR 3500 MHz (N78) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 5.76 Mbps (Cat. 6) , HSDPA (Cat. unspecified) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 75 Mbps / 25 Mbps (Cat. 3) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , NR 1.5 Gbps data links;No;Belarus covered;
Orange Egypt / Mobinil;Orange Egypt Telecommunicatiion;Giza;Orange Egypt (formerly Mobinil) is an Egyptian joint stock company established under the Law No. 8 of 1997 Investment Guarantees and Incentives Law and its executive regulations, was established on the 4th of March 1998.;1998;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 1800 MHz (Band 3) , TD-LTE 2600 MHz (Band 38) , TD-NR 2600 MHz (N38) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , NR 1.5 Gbps , NR 2.6 Gbps data links;No;Egypt covered;
Orange Polska;Orange PL;Warsaw;Formerly Telekomunikacja Polska. Subsidiary of Orange S.A.;2012;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 1.46 Mbps (Cat. 2) , HSUPA 2.0 Mbps (Cat. 5) , HSUPA 5.76 Mbps (Cat. 6) , HSUPA 11.5 Mbps (Cat. 7) , HSDPA (Cat. unspecified) , HSDPA 1.8 Mbps (Cat. 4) , HSDPA 3.6 Mbps (Cat. 6) , HSDPA 7.2 Mbps (Cat. 8) , HSDPA 10.2 Mbps (Cat. 9) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , HSPA+ 42.2 Mbps (Cat. 20) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 450 Mbps / 50 Mbps (LTE Cat. 9) , LTE 600 Mbps / 50 Mbps (LTE Cat. 11) data links;No;Poland covered;
Singapore Telecommunications Limited;Singtel SG;Singapore;Szingapúr legnagyobb mobilszolgáltatója;1983;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 900 MHz (Band 8) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 300 Mbps / 75 Mbps (Cat. 5) , LTE 300 Mbps / 100 Mbps (Cat. 7) , LTE 450 Mbps / 50 Mbps (LTE Cat. 9) , LTE 600 Mbps / 50 Mbps (LTE Cat. 11) , LTE 1.2 Gbps / 200 Mbps (LTE Cat. 18) , LTE 1.6 Gbps (LTE Cat. 19) data links;No;Singapore covered;
Saudi Telecom Company;STC;Riyadh;STC International is the largest telecommunication company in Saudi Arabia also offering cellular services. STC uses Ericsson commercial hardware and solutions including radio access network (RAN), packet core, transport and Ericsson Network Manager for its 5G cellular services.;1998;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) , TD-LTE 2300 MHz (Band XL) , TD-NR 3500 MHz (N78) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 5.76 Mbps (Cat. 6) , HSUPA 11.5 Mbps (Cat. 7) , HSDPA (Cat. unspecified) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , HSPA+ 42.2 Mbps (Cat. 20) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 450 Mbps / 50 Mbps (LTE Cat. 9) , NR 1.5 Gbps , NR 2.6 Gbps data links;No;Saudi Arabia covered;
Vodacom Tanzania Limited;Vodacom Tanzania;Dar es Salaam;Subsidiary Vodacom Gorup Limited;1994;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 1800 MHz (Band 3) , LTE 900 MHz (Band 8) , TD-LTE 3500 MHz (Band XLII) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , NR 2.6 Gbps data links;No;Tanzania covered;
Vodacom Group Limited;Vodacom;Midrand;Subsidiary Vodafone Group Plc (UK);1994;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) , LTE 900 MHz (Band 8) , LTE 800 MHz (Band 20) , TD-LTE 5900 MHz (Band XLVI) , LTE 5800 MHz (Band 255) , TD-NR 3500 MHz (N78) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , NR 2.6 Gbps data links;No;South Africa covered;
Rakuten Mobile;Rakuten;Tokyo;Rakuten Mobile is mobile virtual network operator utilizing the cellular networks of all Japanese operators (KDDI, NTT, SoftBank) meanwhile building its own 4G and 5G cellular network;1997;UMTS 2100MHz (Band I, IMT) , UMTS 1700/2100MHz (Band IV, AWS) , UMTS 850MHz (Band V, CLR) , UMTS 800MHz (Band VI) , UMTS 900MHz (Band VIII) , UMTS 800MHz (Band XIX) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) , LTE 1700/2100 MHz (Band 4, AWS) , LTE 850 MHz (Band 5) , LTE 900 MHz (Band 8) , LTE 700 MHz (Band 12) , LTE 700 MHz (Band 17) , LTE 800 MHz (Band 18) , LTE 800 MHz (Band 19) , LTE 1500 MHz (Band XXI) , LTE 850 MHz (Band 26) , LTE 700 MHz (Band 28) , TD-LTE 2600 MHz (Band 38) , TD-LTE 2500 MHz (Band XLI) , TD-NR 3700 MHz (N77) , TD-NR 28 GHz (N261) networks;HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSDPA 14.4 Mbps (Cat. 10) , LTE (Cat. unspecified) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , NR 1.5 Gbps , NR 2.6 Gbps data links;No;Japan covered;
AT&T Mexico Mobility;AT&T MX;Mexico City;Legal predecessors: Iusacell and Nextel Mexico;2015;GSM 850MHz (B5) , GSM 1900MHz (PCS, B2) , UMTS 1700/2100MHz (Band IV, AWS) , LTE 1700/2100 MHz (Band 4, AWS) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) data links;No;Mexico covered;
